system:index,NDVI,date,.geo
2014_01_01,0.8489587656336581,2014-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_01_17,0.8562127370094232,2014-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_02_02,0.8285712001053924,2014-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_02_18,0.8246610524217028,2014-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06,0.8187754133623175,2014-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_22,0.8596104820920105,2014-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_04_07,0.6422942992827144,2014-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_04_23,0.8047656376322019,2014-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_05_09,0.4046535201811138,2014-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_05_25,0.8438200354764231,2014-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_06_10,0.46361361781485716,2014-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_06_26,0.5032293464575954,2014-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_07_12,0.6967176002091041,2014-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_07_28,0.5705341070662228,2014-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_13,0.34773092712674913,2014-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_29,0.8231284416015173,2014-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_14,0.8534486160351263,2014-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_30,0.7130839570842457,2014-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_10_16,0.7450574564828507,2014-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_11_01,0.5300070958297659,2014-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_11_17,0.8080703293554365,2014-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_12_03,0.7166550428129136,2014-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_12_19,0.8500569704825779,2014-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_01_01,0.8466799122970039,2015-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_01_17,0.7933301606896639,2015-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02_02,0.7739546456734936,2015-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02_18,0.8499432645369773,2015-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06,0.7967414412497774,2015-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_22,0.6222444482183314,2015-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04_07,0.5927125221020724,2015-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04_23,0.4451145874079468,2015-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05_09,0.736272033584607,2015-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05_25,0.6266682096586859,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06_10,0.5945712491658203,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06_26,0.5653785994039742,2015-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07_12,0.6400606976288643,2015-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07_28,0.8399276145013418,2015-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_08_13,0.7291615609638348,2015-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_08_29,0.8357851827890768,2015-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_09_14,0.8301443066373987,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_09_30,0.8382177546764779,2015-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_10_16,0.8330333778804578,2015-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_11_01,0.6429305709288053,2015-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_11_17,0.7408905038987043,2015-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_12_03,0.8220012512890277,2015-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_12_19,0.8625011336929614,2015-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_01_01,0.8619521712294572,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_01_17,0.8368809787855004,2016-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_02_02,0.7565506651478406,2016-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_02_18,0.1061034748704725,2016-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_03_05,0.8432672219464495,2016-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_03_21,0.6467227512040801,2016-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_04_06,0.5387420615342275,2016-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_04_22,0.6403887812837413,2016-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_05_08,0.7449438207893196,2016-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_05_24,0.7823239029871849,2016-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_06_09,0.40545543816219276,2016-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_06_25,0.8370763061796757,2016-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_07_11,0.7393419247519187,2016-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_07_27,0.8307538638274443,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_08_12,0.8444662244660327,2016-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_08_28,0.7070947257540817,2016-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_09_13,0.8330835401701304,2016-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_09_29,0.8118353194558268,2016-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_10_15,0.8287670916024098,2016-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_10_31,0.8443972702783948,2016-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_11_16,0.86320785774612,2016-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_12_02,0.7976793407911457,2016-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_12_18,0.8266637524868402,2016-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01_01,0.8275758711930457,2017-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01_17,0.840767822708834,2017-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_02_02,0.8348017386586803,2017-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_02_18,0.8054066719050049,2017-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_03_06,0.8075482388432351,2017-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_03_22,0.847915895305333,2017-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_04_07,0.31254781303821183,2017-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_04_23,0.7712323187879478,2017-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_05_09,0.7632773142113152,2017-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_05_25,0.7642862969560914,2017-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_06_10,0.4025478071511678,2017-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_06_26,0.3327309315364754,2017-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_07_12,0.8323635720020444,2017-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_07_28,0.8514064504518115,2017-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_08_13,0.7218844632779569,2017-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_08_29,0.8416006333843885,2017-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_09_14,0.7644049819912468,2017-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_09_30,0.6988646683338375,2017-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_10_16,0.844079742521443,2017-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_01,0.7614808170086073,2017-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_17,0.6713631486661404,2017-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_12_03,0.8500897976259627,2017-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_12_19,0.7952012581427564,2017-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_01,0.806175842545519,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_17,0.7898532861569021,2018-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02_02,0.8162859985743565,2018-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02_18,0.8031407781288332,2018-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03_06,0.7817115020000583,2018-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03_22,0.8089262552216757,2018-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_04_07,0.5260304008036281,2018-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_04_23,0.7998993351698902,2018-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05_09,0.6653611758976701,2018-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05_25,0.14388860927546954,2018-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06_10,0.5422020823972125,2018-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06_26,0.35327978957240874,2018-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07_12,0.13085482660543774,2018-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07_28,0.8252294592354417,2018-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08_13,0.6913984031687271,2018-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08_29,0.8191587082314852,2018-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09_14,0.810819746818767,2018-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09_30,0.7377238661305959,2018-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_10_16,0.7272573536342535,2018-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_01,0.752192260273379,2018-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_17,0.8277321456101833,2018-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_03,0.8518682401292951,2018-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_19,0.8351911902560593,2018-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_01,0.8356325842035794,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_17,0.7782267189089178,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_02,0.7758850137192778,2019-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_18,0.8150606448106977,2019-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_06,0.7929200608055259,2019-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_22,0.865966945678878,2019-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_07,0.7655416825267629,2019-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_23,0.8521968219426859,2019-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_09,0.7174413478375747,2019-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_25,0.7662001603653686,2019-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_10,0.559501545780978,2019-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_26,0.5615068042750493,2019-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07_12,0.5728179297105658,2019-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07_28,0.5248823990188303,2019-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08_13,0.8221312688154842,2019-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08_29,0.815741333251778,2019-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09_14,0.8525146137155157,2019-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09_30,0.8623486788481596,2019-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_10_16,0.7424925751227426,2019-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11_01,0.7464221016410588,2019-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11_17,0.7201163887915171,2019-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12_03,0.6189980407978896,2019-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12_19,0.8450095206055771,2019-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_01,0.8472675368742318,2020-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_17,0.8335229421280966,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_02,0.8116984609629926,2020-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_18,0.7217740412778081,2020-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_05,0.765029746246312,2020-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_21,0.8442278290763997,2020-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_06,0.8419563657992822,2020-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_22,0.850426274983082,2020-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_08,0.6637790791812818,2020-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_24,0.6776606770006297,2020-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_09,0.6786809925871212,2020-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_25,0.5827519106219919,2020-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07_11,0.8229466802800786,2020-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07_27,0.8338929712918497,2020-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08_12,0.8404966914546814,2020-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08_28,0.8397000994343699,2020-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09_13,0.7737941304707514,2020-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09_29,0.8338354627815098,2020-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10_15,0.7760206684687214,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10_31,0.809222436173412,2020-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_11_16,0.7980426102933412,2020-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12_02,0.7618759921675825,2020-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12_18,0.828489456035972,2020-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_01,0.8411188634369304,2021-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,0.81817344137803,2021-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_02,0.8062763537542326,2021-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_18,0.7300592843705351,2021-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_06,0.8094466968263322,2021-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_22,0.24709475609172743,2021-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_07,0.7467672875498665,2021-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_23,0.6366216487915674,2021-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_09,0.4106894517229664,2021-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_25,0.6815098665085718,2021-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_10,0.8056056105136931,2021-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_26,0.4345693873101968,2021-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_07_12,0.548468785136287,2021-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_07_28,0.7865189634986471,2021-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_08_13,0.8003344102514611,2021-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_08_29,0.8053841474326264,2021-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_09_14,0.7998396303205825,2021-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_09_30,0.7282900481916185,2021-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_10_16,0.8504092183815586,2021-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_01,0.8098002125919329,2021-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_17,0.8287986347378775,2021-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_03,0.8213294193989589,2021-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_19,0.7853715264038205,2021-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_01_01,0.7849209750841653,2022-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_01_17,0.7747031079513744,2022-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_02_02,0.7632038375549803,2022-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_02_18,0.757251583225705,2022-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_03_06,0.5454935235133265,2022-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_03_22,0.7722755486338384,2022-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_04_07,0.42131022652686145,2022-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_04_23,0.5304144735036399,2022-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_05_09,0.3391215600060535,2022-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_05_25,0.4455348476685855,2022-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_06_10,0.8013115385429745,2022-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_06_26,0.8185822890764123,2022-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_07_12,0.5019162773591548,2022-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_07_28,0.7881810411280337,2022-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_08_13,0.7979735814330607,2022-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_08_29,0.8099476176921001,2022-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_09_14,0.7755698407246449,2022-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_09_30,0.8058076851475013,2022-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_10_16,0.7106232493668041,2022-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_11_01,0.8114716461731493,2022-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_11_17,0.8076973671580938,2022-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_12_03,0.8136268859002512,2022-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_12_19,0.7840970960269258,2022-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_01_01,0.7460818564930998,2023-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_01_17,0.8058039851003777,2023-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_02_02,0.8104366218819911,2023-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
